obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,precip,soil_type,ox_ult,pH,sand_perc,bnf_input,treat_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,sample_cm,N_in_kg,NO3_kg_seas,NO3_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,irrig_1_0,irrig_in,tropical,org_Nfix_in,split_app,crop,crop_type,pct_sand_0.15m_ISRIC,pct_sand_combined,MAP_mm_global,MAP_mm_combined,water_input_mm
1,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,0,,,,,60,0,3.8,3.8,,7,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
2,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,100,,,,,60,100,8,8,,8,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
3,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,150,,,,,60,150,14.5,14.5,,9,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
4,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,1411,542.5,acid-sulphate,0,6.4,14.1,,,urea,200,,,,,60,200,23,23,,10,36,85,1,260,1,0,1,,cereal,18,14.1,802,1411,802.5
5,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,0,,,,,60,0,0.3,0.3,,11,36,95,1,330,1,0,1,,cereal,18,14.1,802,1411,872.5
6,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,100,,,,,60,100,3.1,3.1,,12,36,95,1,330,1,0,1,,cereal,18,14.1,1491,1411,872.5
7,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,150,,,,,60,150,4.1,4.1,,13,36,95,1,330,1,0,1,,cereal,18,14.1,1491,1411,872.5
8,this study,"Asadi, ME; Clemente, RS; Das Gupta, A; Loof, R; Hansen, GK",Impacts of fertigation via sprinkler irrigation on nitrate leaching and corn yield in an acid-sulphate soil in Thailand,2002,A,"Asian Institute of Technology, Thailand",14.06666667,100.6166667,85,542.5,acid-sulphate,0,5.4,14.1,,,urea,200,,,,,60,200,5.3,5.3,,14,36,95,1,330,1,0,1,,cereal,18,14.1,1491,1411,872.5
9,this study,"Babbar, Li; Zak, Dr",Nitrogen loss from coffee agroecosystems in Costa-Rica - leaching and denitrification in the presence and absence of shade trees,1995,SCA,"San Pedro de Barva, Costa Rica",10.15,-84.13333333,2650,1812,udands,0,5.35,56.25,,,NPK and urea,300,,,,,60,300,8.731335,8.731335,,12,12,365,0,,1,0,1,,tree crop,38,56.25,638,2650,1812
10,this study,"Babbar, Li; Zak, Dr",Nitrogen loss from coffee agroecosystems in Costa-Rica - leaching and denitrification in the presence and absence of shade trees,1995,SCA,"San Pedro de Barva, Costa Rica",10.15,-84.13333333,2650,1812,udands,0,5.35,56.25,,,NPK and urea,300,,,,,60,300,23.31077,23.31077,,12,12,365,0,,1,0,1,,tree crop,38,56.25,638,2650,1812
