obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,N2O_kg_seas,N2O_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
1,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,Control WS,urea,210,,,,,0,0,1,flooded rice,CF rice,1.6,1.6,,60,3,120,1,210,34,34,1294,1294
2,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,DCD WS,urea,210,,,,,0,0,1,flooded rice,CF rice,1.2,1.2,,60,3,120,1,210,34,34,1294,1294
3,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,Nimin WS,urea,210,,,,,0,0,1,flooded rice,CF rice,0.49,0.49,,60,3,120,1,210,34,34,1294,1294
4,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,Karanjin WS,urea,210,,,,,0,0,1,flooded rice,CF rice,0.99,0.99,,60,3,120,1,210,34,34,1294,1294
5,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,Control DS,urea,210,,,,,0,0,1,flooded rice,CF rice,2.05,2.05,,60,3,120,1,210,34,34,1294,1294
6,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,DCD DS,urea,210,,,,,0,0,1,flooded rice,CF rice,1.62,1.62,,60,3,120,1,210,34,34,1294,1294
7,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,Nimin DS,urea,210,,,,,0,0,1,flooded rice,CF rice,0.3,0.3,,60,3,120,1,210,34,34,1294,1294
8,this study,"A. Datta a,b,c,*, T.K. Adhya",Effects of organic nitrification inhibitors on methane and nitrous oxide emission from tropical rice paddy,2014,A,"Central Rice Research Institute, India",20.45305556,85.93611111,,aeric endoaquept,0,,,,,,Karanjin DS,urea,210,,,,,0,0,1,flooded rice,CF rice,1.05,1.05,,60,3,120,1,210,34,34,1294,1294
9,this study,"A.R. Mosier ~, S.K. Mohanty, A. Bhadrachalam, and S.P. Chakravorti",Evolution of dinitrogen and nitrous oxide from the soil to the atmosphere through rice plants,1990,A,"Cuttack, India",20.45194444,85.94194444,,aeric fluvaquept,0,,,,,,,urea,100,,,,,0,0,1,flooded rice,CF rice,0.5851077,0.5851077,,31,4,65,1,100,36,36,1294,1294
10,this study,"A.R. Mosier ~, S.K. Mohanty, A. Bhadrachalam, and S.P. Chakravorti",Evolution of dinitrogen and nitrous oxide from the soil to the atmosphere through rice plants,1990,A,"Cuttack, India",20.45194444,85.94194444,,aeric fluvaquept,0,,,,,,,urea,100,,,,,0,0,1,flooded rice,CF rice,0.31533,0.31533,,31,4,65,1,100,36,36,1294,1294
11,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1994 Rice Prilled Urea,Prilled Urea,90,,,,,1,0,0,,cereal,0.097,0.097,,1188,,99,1,90,33,33,2292,2292
12,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1994 Rice Polyon 12,Polyn 12 - slow release urea,90,,,,,0,0,0,,cereal,0.003,0.003,,1188,,99,1,90,33,33,2292,2292
13,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1995 Cowpea (previously prilled urea plots),Urea,30,,,,,0,1,0,,legume,0.319,0.319,,1188,,99,1,30,33,33,2292,2292
14,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1995 Cowpea (previously polyon 12 plots),Urea,30,,,,,0,1,0,,legume,0.383,0.383,,1188,,99,1,30,33,33,2292,2292
15,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1995 Wheat,Urea,60,,,,,0,0,0,,cereal,0.645,0.645,,1188,,99,1,60,33,33,2292,2292
16,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1995 Rice Urea1 (previously weed-free fallow plots),Urea,90,,,,,1,0,0,,NCF rice,0.249,0.249,,1920,,160,1,90,33,33,2292,2292
17,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1995 Rice Urea 2(cowpea residue removed),Urea,90,,,,,1,0,0,,NCF rice,0.232,0.232,,1920,,160,1,90,33,33,2292,2292
18,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1996 Cowpea (cowpea residue removed plots),Urea,30,,,,,0,1,0,,legume,0.106,0.106,,1080,,90,1,30,33,33,2292,2292
19,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1996 Cowpea (cowpea residue incorporated plots),Urea,30,,,,,0,1,0,,legume,0.277,0.277,,1080,,90,1,30,33,33,2292,2292
20,this study,"Abao, EB; Bronson, KF; Wassmann, R; Singh, U",Simultaneous records of methane and nitrous oxide emissions in rice-based cropping systems under rainfed conditions,2000,A,"International Rice Research Institute at Los Banos, Philippines",14.167739,121.254584,,Maahas,0,7,,,,,1996 Wheat (wheat residue incorporated plots),Urea,90,,,,,0,0,0,,cereal,0.612,0.612,,1080,,90,1,90,33,33,2292,2292
21,this study,"Abdul Hadi , Oslan Jumadi , Kazuyuki Inubushi & Kazuyuki Yagi","Mitigation options for N2O emission from a corn field in Kalimantan, Indonesia",2008,A,"South Kalimantan, Indonesia",-3.479166667,114.8463889,,ultisol,1,,,,,,urea,urea,90,,,,,0,0,0,,cereal,6.917,6.917,10.97,9,12,92,1,90,43,43,2636,2636
22,this study,"Abdul Hadi , Oslan Jumadi , Kazuyuki Inubushi & Kazuyuki Yagi","Mitigation options for N2O emission from a corn field in Kalimantan, Indonesia",2008,A,"South Kalimantan, Indonesia",-3.479166667,114.8463889,,ultisol,1,,,,,,urea+DCD,urea+DCD,90,,,,,0,0,0,,cereal,0.211,0.211,0.09,9,12,92,1,90,43,43,2636,2636
