obs,source,auth,title,yr_pub,region,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,trt_name,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,N_in_kg,org_Nfix_in,irrig_1_0,tropical,split_app,crop,crop_type,NO_kg_seas,NO_kg_seas_zero_rm,SE,approx_num_measurements,num_replicates,duration_d,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
1,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2011 0,diammonium phosphate,0,urea,0,0,0,0,1,1,maize,cereal,0.29,0.29,,38,4,68,,52.2,,1750
2,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2011 50,diammonium phosphate,16.66666667,urea,33.33333333,50,0,0,1,1,maize,cereal,0.47,0.47,,38,4,68,,52.2,,1750
3,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2011 75,diammonium phosphate,25,urea,50,75,0,0,1,1,maize,cereal,0.53,0.53,,38,4,68,,52.2,,1750
4,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2011 100,diammonium phosphate,33.33333333,urea,66.66666667,100,0,0,1,1,maize,cereal,0.51,0.51,,38,4,68,,52.2,,1750
5,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2011 150,diammonium phosphate,50,urea,100,150,0,0,1,1,maize,cereal,0.97,0.97,,38,4,68,,52.2,,1750
6,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2011 200,diammonium phosphate,66.66666667,urea,133.3333333,200,0,0,1,1,maize,cereal,0.89,0.89,,38,4,68,,52.2,,1750
7,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2012 0,diammonium phosphate,0,urea,0,0,0,0,1,1,maize,cereal,0.17,0.17,,38,4,58,,52.2,,1750
8,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2012 50,diammonium phosphate,16.66666667,urea,33.33333333,50,0,0,1,1,maize,cereal,0.19,0.19,,38,4,58,,52.2,,1750
9,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2012 75,diammonium phosphate,25,urea,50,75,0,0,1,1,maize,cereal,0.21,0.21,,38,4,58,,52.2,,1750
10,this study,"Hickman, JE; Huang, YX; Wu, SL; Diru, W; Groffman, PM; Tully, KL; Palm, CA",Nonlinear response of nitric oxide fluxes to fertilizer inputs and the impacts of agricultural intensification on tropospheric ozone pollution in Kenya,2017,SSA,"Yala, Kenya ",0.1,34.51,1750,Oxisols ,1,6,35.2,12.4,52.2,,2012 100,diammonium phosphate,33.33333333,urea,66.66666667,100,0,0,1,1,maize,cereal,0.33,0.33,,38,4,58,,52.2,,1750
