obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,trt_name,nh3_kg_seas,nh3_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
1,this study,"S. Phongpan, J.R. Freney, D.G. Keerthisinghe;  R Chaiwanakupt ",Use of phenylphosphorodiamidate and N-(n-butyl)thiophosphorictriamide to reduce ammonia loss and increase grain yield following application of urea to flooded rice,1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,80,20,0,,urea,60,,,,,0,0,1,flooded rice,CF rice,control,9,9,,11,3,11,1,60,,,1201,1201
2,this study,"S. Phongpan, J.R. Freney, D.G. Keerthisinghe;  R Chaiwanakupt ",Use of phenylphosphorodiamidate and N-(n-butyl)thiophosphorictriamide to reduce ammonia loss and increase grain yield following application of urea to flooded rice,1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,80,20,0,,urea,60,,,,,0,0,1,flooded rice,CF rice,NBPT,3.24,3.24,,11,3,11,1,60,,,1201,1201
3,this study,"S. Phongpan, J.R. Freney, D.G. Keerthisinghe;  R Chaiwanakupt ",Use of phenylphosphorodiamidate and N-(n-butyl)thiophosphorictriamide to reduce ammonia loss and increase grain yield following application of urea to flooded rice,1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,80,20,0,,urea,60,,,,,0,0,1,flooded rice,CF rice,-3NBPT,4.08,4.08,,11,3,11,1,60,,,1201,1201
4,this study,"S. Phongpan, J.R. Freney, D.G. Keerthisinghe;  R Chaiwanakupt ",Use of phenylphosphorodiamidate and N-(n-butyl)thiophosphorictriamide to reduce ammonia loss and increase grain yield following application of urea to flooded rice,1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,80,20,0,,urea,60,,,,,0,0,1,flooded rice,CF rice,PPD,4.38,4.38,,11,3,11,1,60,,,1201,1201
5,this study,"S. Phongpan, J.R. Freney, D.G. Keerthisinghe;  R Chaiwanakupt ",Use of phenylphosphorodiamidate and N-(n-butyl)thiophosphorictriamide to reduce ammonia loss and increase grain yield following application of urea to flooded rice,1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,80,20,0,,urea,60,,,,,0,0,1,flooded rice,CF rice,NBPT+PPD,1.428,1.428,,11,3,11,1,60,,,1201,1201
6,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"Calauan, Laguna, Philippines",14.164981,121.255312,,Aeric Tropaquept,0,6.1,80,20,0,,urea,53,,,,,1,0,1,flooded rice,CF rice,88 without water,10.094069,10.094069,,7,2,8,1,53,,,2292,2292
7,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"Calauan, Laguna, Philippines",14.164981,121.255312,,Aeric Tropaquept,0,6.1,80,20,0,,urea,53,,,,,1,0,1,flooded rice,CF rice,88 with water,17.968763,17.968763,,7,2,8,1,53,,,2292,2292
8,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"Calauan, Laguna, Philippines",14.164981,121.255312,,Aeric Tropaquept,0,6.1,80,20,0,,urea,53,,,,,1,0,1,flooded rice,CF rice,11DT,27.787971,27.787971,,7,2,8,1,53,,,2292,2292
9,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"Calauan, Laguna, Philippines",14.164981,121.255312,,Aeric Tropaquept,0,6.1,80,20,0,,urea,80,,,,,1,0,1,flooded rice,CF rice,88 without water,6.383645,6.383645,,7,2,8,1,80,,,2292,2292
10,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"Calauan, Laguna, Philippines",14.164981,121.255312,,Aeric Tropaquept,0,6.1,80,20,0,,urea,80,,,,,1,0,1,flooded rice,CF rice,88 with water,14.925583,14.925583,,7,2,8,1,80,,,2292,2292
